Name,Input,Output,Protein,RBS,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_Q04120,BBa_P0412,BBa_R0010,LacI,BBa_B0034,,,Not Released,,Not in stock,,1 Uses,Antiquity,|Alvin Carter Powers, Yong-Su Jin (Fighting Darwins)|,2004-01-27,,pgroup=Inverter&show=1.csv
BBa_Q04122,BBa_P0412,BBa_R0010,LacI,BBa_B0034,,,Not Released,,Not in stock,,24 Uses,Antiquity,|Caitlin Conboy, Jennifer Braff|,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q04401, , , , ,,Jason Kelly:3;Reshma Shetty:4,Not Released,,Not in stock,Works,7 Uses,MIT,Josh Michener,2006-05-11,,pgroup=Inverter&show=1.csv
BBa_Q04500,BBa_P0450,BBa_R0050,CI (HK022),BBa_B0034,,,Not Released,,Not in stock,,10 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,,pgroup=Inverter&show=1.csv
BBa_Q04720, , , , ,,,Not Released,BBa_I13072;BBa_J85122,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-05-05,,pgroup=Inverter&show=1.csv
BBa_Q04730, , , , ,,,Not Released,BBa_I9001,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-05-10,,pgroup=Inverter&show=1.csv
BBa_Q04740, ,BBa_R0074,PenI,BBa_B0034,,Antiquity:0,Not Released,,Not in stock,None,2 Uses,Antiquity,Barry Canton,2004-07-05,,pgroup=Inverter&show=1.csv
BBa_Q04800, ,BBa_R0080,AraC,BBa_B0034,,,Not Released,BBa_I3700,Not in stock,,2 Uses,Antiquity,|Alvin Carter Powers, Sara Neves (Fighting Darwins)|,2004-01-27,,pgroup=Inverter&show=1.csv
BBa_Q04811, ,BBa_R0081,CI (857ts),BBa_B0034,,,Not Released,,Not in stock,,1 Uses,Antiquity,|Alvin Carter Powers, Yong-Su Jin (Fighting Darwins)|,2004-01-27,,pgroup=Inverter&show=1.csv
BBa_Q07400, ,BBa_R0040,TetR,BBa_B0041,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,,pgroup=Inverter&show=1.csv
BBa_Q08400, ,BBa_R0040,TetR,BBa_B0038,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,,pgroup=Inverter&show=1.csv
BBa_Q09400, ,BBa_R0040,TetR,BBa_B0039,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,,pgroup=Inverter&show=1.csv
BBa_Q20050, , , , ,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_Q200514, , , , ,,,Not Released,,It's complicated,,Not Used,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_Q20060, , , , ,,,Not Released,,It's complicated,,2 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_Q20061, , , , ,,,Not Released,,It's complicated,,1 Uses,iGEM07_Example,Reshma Shetty,2008-01-09,,pgroup=Inverter&show=1.csv
BBa_Q200614, , , , ,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_Q20070, , , , ,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_Q200714, , , , ,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,,pgroup=Inverter&show=1.csv
BBa_S04206, , , , ,,,Not Released,BBa_K266004,It's complicated,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-06-03,,pgroup=Inverter&show=1.csv
BBa_S04208, , , , ,,,Not Released,BBa_K266008;BBa_K418002,It's complicated,None,2 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-06-03,,pgroup=Inverter&show=1.csv
BBa_S04215, , , , ,,,Not Released,BBa_K266001,It's complicated,Issues,2 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-07-05,,pgroup=Inverter&show=1.csv
BBa_S04302, , , , ,,,Not Released,BBa_K266011,Not in stock,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-10-12,,pgroup=Inverter&show=1.csv
BBa_S04303, , , , ,,,Not Released,BBa_K266003,It's complicated,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-10-12,,pgroup=Inverter&show=1.csv
BBa_I13409, , , , ,,Antiquity:0,Not Released,,Not in stock,None,Not Used,MIT,jkm,2005-05-23,,pgroup=Inverter&show=1.csv
BBa_I750006, , , , ,,,Not Released,,Not in stock,None,3 Uses,iGEM07_Melbourne,Patricia Illing,2007-07-02,,pgroup=Inverter&show=1.csv
BBa_I765005, , , , ,,,Not Released,,It's complicated,None,Not Used,iGEM07_Colombia_Israel,Juliana Maria Navia and Alex Quintero,2007-10-26,,pgroup=Inverter&show=1.csv
