Name,Safety
BBa_K112322,1
BBa_K112400,1
BBa_K112401,1
BBa_K112402,1
BBa_K112405,1
BBa_K112406,1
BBa_K112407,1
BBa_K112701,1
BBa_K112708,1
BBa_K112900,1
BBa_K113009,1
BBa_K113010,1
BBa_K113011,1
BBa_K113012,1
BBa_K1140006,1
BBa_K116001,1
BBa_K116401,1
BBa_K116500,1
BBa_K116603,1
BBa_K1170000,1
BBa_K117002,1
BBa_K118011,1
BBa_K118012,1
BBa_K1184000,1
BBa_K119000,1
BBa_K119001,1
BBa_K119002,1
BBa_K121011,1
BBa_K121014,1
BBa_K121016,1
BBa_K1315001,1
BBa_K1315002,1
BBa_K1315003,1
BBa_K1315005,1
BBa_K1315006,1
BBa_K1315007,1
BBa_K1317001,1
BBa_K1317003,1
BBa_K1330000,1
BBa_K1330002,1
BBa_K1331001,1
BBa_K1331002,1
BBa_K1331003,1
BBa_K1331004,1
BBa_K1331005,1
BBa_K1331006,1
BBa_K1333200,1
BBa_K1333201,1
BBa_K1333202,1
BBa_K1333203,1
BBa_K1333204,1
BBa_K134900,1
BBa_K135000,1
BBa_K136010,1
BBa_K1362090,1
BBa_K1362091,1
BBa_K1362461,1
BBa_K137029,1
BBa_K137030,1
BBa_K137031,1
BBa_K137032,1
BBa_K137046,1
BBa_K137047,1
BBa_K137048,1
BBa_K137049,1
BBa_K137050,1
BBa_K137051,1
BBa_K137085,1
BBa_K137086,1
BBa_K137087,1
BBa_K137088,1
BBa_K137089,1
BBa_K137090,1
BBa_K137091,1
BBa_K137125,1
BBa_K1379000,1
BBa_K1379001,1
BBa_K1379002,1
BBa_K1379003,1
BBa_K1379004,1
BBa_K1379005,1
BBa_K1379006,1
BBa_K1379007,1
BBa_K1379045,1
BBa_K1379051,1
BBa_K1390019,1
BBa_K1398000,1
BBa_K1398001,1
BBa_K1399000,1
BBa_K1399001,1
BBa_K1399002,1
BBa_K1399003,1
BBa_K1399004,1
BBa_K1399005,1
BBa_K1399006,1
BBa_K1399007,1
BBa_K1399008,1
BBa_K1404001,1
BBa_K1404002,1
BBa_K1404006,1
BBa_K1404007,1
BBa_K1404008,1
BBa_K145150,1
BBa_K145152,1
BBa_K1468000,1
BBa_K1468001,1
BBa_K1468002,1
BBa_K1468004,1
BBa_K1479004,1
BBa_K1484000,1
BBa_K1484001,1
BBa_K1484002,1
BBa_K1484100,1
BBa_K1484115,1
